CIK,Ticker,Company Name,Sector,Year,filingDate,form,AI Washing Index_flash1_5,AI Washing Index_flash2_5,AI Washing Index_gpt4o,Disclosure Sentiment_flash1_5,Disclosure Sentiment_flash2_5,Disclosure Sentiment_gpt4o,Forward-Looking_flash1_5,Forward-Looking_flash2_5,Forward-Looking_gpt4o,Key AI Terms_flash1_5,Key AI Terms_flash2_5,Key AI Terms_gpt4o,Overall Summary_flash1_5,Overall Summary_flash2_5,Overall Summary_gpt4o,Risk - External Threats_flash1_5,Risk - External Threats_flash2_5,Risk - External Threats_gpt4o,Risk - Non-Adoption_flash1_5,Risk - Non-Adoption_flash2_5,Risk - Non-Adoption_gpt4o,Risk - Own Adoption_flash1_5,Risk - Own Adoption_flash2_5,Risk - Own Adoption_gpt4o,Strategic Depth_flash1_5,Strategic Depth_flash2_5,Strategic Depth_gpt4o,Talent & Investment_flash1_5,Talent & Investment_flash2_5,Talent & Investment_gpt4o
0000055785,KMB,KIMBERLY CLARK CORP,Consumer Staples,2021,2022-02-10,10-K,E,E,E,E,E,D,D,D,D,,,,"Kimberly-Clark's 10-K filing reveals no explicit AI strategy or initiatives.  While the company faces risks related to cybersecurity and data privacy, there is no mention of AI's role in these areas or any forward-looking AI plans.","Kimberly-Clark's 10-K filing does not contain any explicit mentions of Artificial Intelligence or related advanced technologies. The disclosures focus on general business risks, operational efficiencies, and digital marketing, without framing them within an AI context, indicating a lack of disclosed AI strategy or specific AI-related risk assessment.","Kimberly Clark demonstrates a cautious approach towards AI, with limited explicit strategies or investments in AI technologies, while acknowledging risks associated with digital transformation and cybersecurity.",B,C,B,C,C,C,C,C,C,E,E,E,D,D,D
0000055785,KMB,KIMBERLY CLARK CORP,Consumer Staples,2022,2023-02-09,10-K,E,E,E,E,E,C,D,D,D,,,,"Kimberly-Clark's 10-K filing reveals no explicit AI strategy or initiatives.  The document focuses on traditional operational risks, supply chain challenges, and market competition, with no mention of AI integration or future AI plans.","Kimberly-Clark's 10-K filing does not explicitly mention Artificial Intelligence in its strategic discussions, risk factors, or future plans. While the company acknowledges general cybersecurity threats and the need for technological innovation to remain competitive, there is no indication of current AI adoption or future AI-specific initiatives.","Kimberly Clark demonstrates a cautious approach towards AI, with limited explicit strategies or investments in AI technologies, while acknowledging the importance of digital capabilities in their growth strategy.",B,B,B,C,B,C,C,C,C,E,E,D,D,D,D
0000055785,KMB,KIMBERLY CLARK CORP,Consumer Staples,2023,2024-02-08,10-K,E,E,E,C,E,D,D,D,D,,,,"Kimberly-Clark's 10-K filing reveals no explicit AI strategy or initiatives.  While the company acknowledges cybersecurity risks, including those related to cyberattacks, there is no mention of AI's role in either their strategic plans or risk mitigation.","Kimberly-Clark's 10-K filing does not explicitly mention Artificial Intelligence, machine learning, or related advanced technologies in its strategic discussions, operational plans, or risk factors, beyond general mentions of ""sophisticated"" cyber threats. The company appears to be focused on general digital capabilities, efficiency, and traditional competitive factors, with no discernible public strategy or investment focus related to AI.","Kimberly Clark demonstrates a cautious approach towards AI, with limited explicit strategies or discussions on AI adoption, while acknowledging risks associated with technology and cybersecurity.",B,B,B,C,C,C,C,C,B,E,E,E,D,D,D
0000056873,KR,KROGER CO,Consumer Staples,2020,2021-03-30,10-K,E,E,B,C,B,B,D,C,B,,,,"Kroger's 10-K filing reveals a significant focus on digital transformation and data utilization, with substantial investments in technology and infrastructure to enhance customer experience and operational efficiency.  However, there is no explicit mention of AI strategies or specific AI initiatives, suggesting a less developed AI preparedness compared to companies with clearly defined AI strategies.","Kroger's disclosures indicate a strong operational engagement with advanced data analytics, personalization, and automation technologies (e.g., Ocado-powered fulfillment, Kroger Precision Marketing) that are typically AI-enabled, positioning itself for digital growth and competitive advantage. However, the company does not explicitly use 'Artificial Intelligence' or related specific AI terminology in these excerpts, suggesting a focus on the functional outcomes of these technologies rather than the underlying AI capabilities or specific AI-related risks.","Kroger Co demonstrates a proactive approach to integrating technology and data insights into its operations, particularly in response to evolving customer preferences and competitive pressures, although there are areas where AI strategy and risk disclosures could be more explicitly articulated.",C,B,C,B,B,B,C,C,B,D,B,B,C,D,C
0000056873,KR,KROGER CO,Consumer Staples,2021,2022-03-29,10-K,E,A,B,B,A,B,D,A,A,,"data science capabilities, data insights, personalization","data, digital, technology","Kroger demonstrates a significant focus on technology and data, particularly for enhancing its omnichannel retail strategy and creating alternative profit streams.  However, there is no explicit mention of AI strategy or specific AI initiatives, suggesting a potential gap in detailed AI preparedness.","Kroger demonstrates a strong, data-driven strategic approach, leveraging 'data science capabilities' for personalization and alternative profit streams, indicating a foundational engagement with AI principles. The company actively invests in digital technology and acknowledges competitive risks in a rapidly evolving digital landscape, while also disclosing general IT and data security risks relevant to advanced tech adoption.","Kroger demonstrates a strong commitment to leveraging technology and data analytics to enhance customer experience and operational efficiency, although there are significant risks associated with cybersecurity and competition in the evolving digital landscape.",B,B,B,B,A,A,C,B,B,C,A,A,C,B,A
0000056873,KR,KROGER CO,Consumer Staples,2022,2023-03-28,10-K,E,A,B,C,A,B,D,C,A,,,"data, digital, technology","Kroger demonstrates a significant investment in technology and digital transformation, particularly in its seamless omnichannel strategy and data analytics.  However, there is no explicit mention of AI strategy or specific AI initiatives, suggesting a focus on broader technological advancements rather than AI-specific development.","Kroger demonstrates a strong, data-driven strategic approach, leveraging 'data science capabilities' for personalization and 'alternative profit businesses,' and utilizing 'Ocado's automated smart platform' for digital fulfillment. While the term 'AI' is not explicitly used, the company's emphasis on data, personalization, and advanced automation indicates a significant implicit reliance on AI/ML technologies for its core operations and future growth.","Kroger Co. demonstrates a strong commitment to integrating AI and technology into its operations, particularly through its digital ecosystem and data-driven strategies, although there are significant risks associated with its proposed merger with Albertsons.",B,B,C,B,B,B,C,C,B,C,B,A,C,C,A
0000056873,KR,KROGER CO,Consumer Staples,2023,2024-04-02,10-K,E,A,C,C,A,C,D,B,D,,data science capabilities,"data, analytics, digital, technology","Kroger demonstrates a significant focus on technology and data analytics to enhance its operations and customer experience, but there is limited explicit mention of AI strategies or specific AI initiatives.  Their investments in digital capabilities and data science suggest an implicit AI focus, but concrete AI plans are absent.","Kroger demonstrates a strong, long-standing integration of data science capabilities, which underpin its strategic pillar of 'Data & Personalization' and drive significant alternative profit streams. While the company does not explicitly use the term 'AI' frequently, its emphasis on data science, personalization, and digital experience, coupled with a positive outlook on these initiatives, indicates a foundational AI-driven approach. Risk disclosures are general regarding technology and competitive pressures, rather than specific to AI adoption challenges.","Kroger demonstrates a moderate engagement with AI through its strategic investments in technology and data analytics, but lacks explicit future AI plans and detailed discussions on AI-related risks.",B,B,C,B,B,C,C,C,C,C,A,B,C,C,B
0000056978,KLIC,KULICKE & SOFFA INDUSTRIES INC,Information Technology,2020,2020-11-20,10-K,E,A,B,C,A,C,D,B,D,,,"Industry 4.0, Real-time Process & Performance Monitoring, Advanced Data Analytics","Kulicke & Soffa's 10-K filing reveals no explicit AI strategy or adoption, but significant investments in R&D and advanced technologies suggest a potential future focus on AI, particularly in the context of Industry 4.0 and advanced packaging.","KULICKE & SOFFA INDUSTRIES INC demonstrates significant integration of AI-adjacent technologies like 'smart' features, 'Industry 4.0' capabilities, 'Advanced Data Analytics,' and 'Predictive Maintenance' into its core product lines, indicating a strong operational and product-level engagement with advanced automation. While the company explicitly discusses general innovation and competitive risks, it does not specifically detail risks related to its own AI adoption or explicitly mention a focus on AI talent or investment.","KULICKE & SOFFA INDUSTRIES INC demonstrates a moderate engagement with AI through its technology leadership and product development efforts, but lacks explicit forward-looking statements and comprehensive risk disclosures related to AI.",C,B,C,B,B,C,C,C,C,E,B,B,C,D,C
0000056978,KLIC,KULICKE & SOFFA INDUSTRIES INC,Information Technology,2021,2021-11-18,10-K,E,A,C,C,A,C,D,B,D,,,"Industry 4.0, advanced data analytics, predictive maintenance","Kulicke & Soffa's 10-K filing reveals no explicit AI strategy or adoption, but significant investments in R&D and advanced technologies suggest a potential future focus on AI, although this is not currently a stated priority.","KULICKE & SOFFA INDUSTRIES INC demonstrates significant product-level integration of AI-related capabilities through its 'smart bonder series' and features like 'advanced data analytics' and 'predictive maintenance,' which are presented with a clearly positive sentiment. However, the company's disclosures lack explicit discussion of AI-specific risks, dedicated future AI strategic plans beyond product features, or specific focus on AI talent and investment.","KULICKE & SOFFA INDUSTRIES INC demonstrates a strong commitment to technological leadership and innovation in the semiconductor industry, particularly through its advanced packaging solutions and collaborative development efforts, but lacks explicit forward-looking AI strategies and talent investment focus.",C,C,C,C,B,C,C,C,C,E,B,A,B,D,D
0000056978,KLIC,KULICKE & SOFFA INDUSTRIES INC,Information Technology,2022,2022-11-17,10-K,E,E,E,E,E,C,D,D,D,,,,"Kulicke & Soffa's 10-K filing reveals no explicit AI strategy or initiatives.  The document focuses on traditional operational and financial risks within the semiconductor industry, with no mention of AI integration or future AI plans.","KULICKE & SOFFA INDUSTRIES INC's 10-K filing does not explicitly mention Artificial Intelligence or related technologies, indicating a lack of disclosed strategic focus, operational integration, or specific risk considerations regarding AI. The company's disclosures are primarily focused on general industry, macroeconomic, and operational risks common to the semiconductor equipment sector.","KULICKE & SOFFA INDUSTRIES INC demonstrates a cautious approach towards AI, with limited strategic depth and no explicit mention of AI initiatives or investments, indicating a need for improvement in AI integration and talent acquisition.",C,C,C,C,B,C,C,C,C,E,E,E,D,D,D
0000056978,KLIC,KULICKE & SOFFA INDUSTRIES INC,Information Technology,2023,2023-11-16,10-K,E,E,E,C,E,C,D,D,D,"artificial intelligence, AI","artificial intelligence, AI","artificial intelligence, AI, cybersecurity","Kulicke & Soffa's 10-K filing reveals no explicit AI strategy or initiatives.  However, the company acknowledges cybersecurity risks associated with AI, indicating some awareness of the technology's potential impact.","KULICKE & SOFFA INDUSTRIES INC's 10-K filing demonstrates minimal engagement with AI, primarily recognizing it as a source of external cybersecurity risks. The company does not disclose any internal AI strategy, adoption, or related investments, indicating a low level of AI preparedness from a strategic and operational standpoint.","The company demonstrates a cautious approach towards AI, acknowledging its potential risks and the need for robust cybersecurity measures, but lacks a clear strategic focus on AI integration or development.",B,A,B,C,C,C,C,C,B,E,E,E,D,D,D
0000057131,LZB,LA-Z-BOY INC,Consumer Discretionary,2020,2020-06-23,10-K,E,E,C,E,E,C,D,D,B,,,,"LA-Z-Boy's 10-K filing reveals no explicit AI strategy or adoption, focusing instead on operational efficiency and supply chain optimization.  While there's mention of cybersecurity risks, there's no discussion of AI's role in either mitigating or exacerbating these risks.","LA-Z-BOY INC's 10-K filing does not contain any explicit mentions of Artificial Intelligence or related advanced technologies. The company's disclosures focus on traditional business risks, operational challenges, e-commerce expansion, and product innovation, indicating no current engagement with AI in its strategic or risk discussions.","LA-Z-BOY INC demonstrates a cautious approach towards AI, with some strategic initiatives in digital marketing and e-commerce, but lacks a comprehensive AI strategy or significant investment in AI talent.",B,C,C,C,C,C,C,C,C,E,E,D,D,D,D
0000057131,LZB,LA-Z-BOY INC,Consumer Discretionary,2021,2021-06-15,10-K,E,E,E,C,E,E,D,D,D,,,,"La-Z-Boy's 10-K filing reveals no explicit AI strategy or adoption, but it does highlight significant investments in technology and digital transformation, including e-commerce expansion and supply chain optimization.  The company's focus on data security suggests an awareness of potential AI-related risks, though these are not explicitly linked to AI.","LA-Z-BOY INC's 10-K filing excerpts do not contain any explicit mentions of Artificial Intelligence (AI) in its strategic initiatives, operational discussions, risk factors, or future plans. The company's disclosures focus on traditional business challenges, digital transformation efforts (e-commerce, website improvements), and general cybersecurity risks, without linking them to AI.","La-Z-Boy Inc demonstrates a cautious approach towards AI, with limited strategic depth and no explicit mention of AI-related initiatives or investments, indicating a need for further development in this area.",B,C,C,B,C,C,C,C,C,E,E,E,C,D,D
0000057131,LZB,LA-Z-BOY INC,Consumer Discretionary,2022,2022-06-21,10-K,E,E,E,C,E,C,D,D,D,,,,"LA-Z-Boy's 10-K filing reveals no explicit AI strategy or adoption, focusing instead on operational efficiency and supply chain improvements.  While there's mention of technology upgrades and digital platform enhancements, no specific AI initiatives or investments are detailed.","La-Z-Boy Inc.'s 10-K filing indicates a very low level of explicit engagement with Artificial Intelligence, with no direct mentions of AI in its strategy, operations, or future plans. The company's disclosures focus on general technology upgrades and cybersecurity risks, without specifying AI-related initiatives or competitive threats from AI.","LA-Z-BOY INC demonstrates a cautious approach towards AI, with limited strategic depth and no explicit mention of AI-related initiatives or investments, indicating a need for further development in this area.",B,B,C,C,C,C,C,C,C,E,E,E,D,D,D
0000057131,LZB,LA-Z-BOY INC,Consumer Discretionary,2023,2023-06-20,10-K,E,E,E,C,E,E,D,D,D,,,,"LA-Z-Boy's 10-K filing reveals no explicit AI strategy or adoption, focusing instead on operational efficiency and supply chain improvements.  While there's mention of cybersecurity risks, there's no discussion of AI's role in either mitigating or exacerbating these risks.","LA-Z-BOY INC's disclosures do not explicitly mention Artificial Intelligence in its strategic plans, operations, or future investments. The company focuses on general digital transformation, e-commerce expansion, and robust cybersecurity measures, with no specific discussion of AI's role or associated risks beyond general sophisticated cyber threats.","LA-Z-BOY INC demonstrates a cautious approach towards AI, with limited strategic depth and no explicit mention of AI-related initiatives or investments, indicating a need for further development in this area.",B,B,C,C,C,C,C,C,C,E,E,E,D,D,D
0000057515,LANC,LANCASTER COLONY CORP,Consumer Staples,2020,2020-08-27,10-K,E,E,E,C,E,C,D,D,D,,,,"Lancaster Colony Corp demonstrates a significant investment in IT infrastructure and technology upgrades, including a multi-year ERP implementation (Project Ascent), but shows no explicit mention of AI strategy or adoption in its 10-K filing.  The company's focus is primarily on operational efficiency and supply chain management, with no discernible AI-specific initiatives.","LANCASTER COLONY CORP's 10-K filing does not contain any explicit mentions of Artificial Intelligence (AI) in its strategic discussions, risk factors, or future plans. The company's focus is on general IT infrastructure, ERP system implementation, and cybersecurity, indicating a lack of disclosed engagement with AI technologies at the time of this report.","Lancaster Colony Corp demonstrates a cautious approach towards AI, with limited direct references to AI strategies or investments, indicating a need for further development in this area.",C,C,C,C,C,C,C,C,C,E,E,E,C,D,D
0000057515,LANC,LANCASTER COLONY CORP,Consumer Staples,2021,2021-08-26,10-K,E,E,E,E,E,C,D,D,D,,,,"Lancaster Colony Corp shows no explicit AI strategy or adoption in its 10-K filing.  However, significant investments in IT infrastructure upgrades, including a new ERP system (Project Ascent), suggest a focus on technological advancement that could indirectly support future AI integration.","Lancaster Colony Corp's 10-K filing indicates no explicit engagement with Artificial Intelligence. The company focuses on foundational IT infrastructure, such as an ERP system implementation, and general cybersecurity risks, but does not disclose any strategic integration of AI, its associated risks, or future plans related to AI.","Lancaster Colony Corp demonstrates a cautious approach towards AI, with limited explicit strategies or investments in AI technologies, but acknowledges the importance of technology in their operations.",B,C,C,C,C,C,C,C,C,E,E,E,C,D,D
0000057515,LANC,LANCASTER COLONY CORP,Consumer Staples,2022,2022-08-25,10-K,E,E,E,C,E,C,D,D,D,,,,"Lancaster Colony Corp demonstrates a significant investment in IT infrastructure and systems modernization, including a multi-year ERP implementation (Project Ascent), but shows no explicit mention of AI strategy or adoption in its 10-K filing.  The company focuses on operational efficiency and supply chain optimization, but there is no evidence of AI integration into these efforts.","The company's 10-K filing does not contain any explicit mentions of Artificial Intelligence (AI) or related technologies. Its strategic discussions, risk factors, and forward-looking statements are entirely focused on traditional operational, supply chain, market, and IT infrastructure (ERP) challenges, indicating no disclosed engagement with AI preparedness or strategy.","Lancaster Colony Corp shows limited engagement with AI, primarily focusing on operational improvements and risk management without explicit AI strategies or investments mentioned.",B,C,C,C,C,C,C,C,C,E,E,E,C,D,D
0000057515,LANC,LANCASTER COLONY CORP,Consumer Staples,2023,2023-08-23,10-K,E,E,E,C,E,C,D,D,D,,,,"Lancaster Colony Corp shows no explicit AI strategy or adoption in its 10-K filing.  However, significant investments in IT infrastructure modernization, such as the implementation of an SAP S/4HANA system (Project Ascent), suggest a focus on technological advancement that could indirectly support future AI integration.","Lancaster Colony Corp's 10-K filing indicates no explicit engagement with Artificial Intelligence. The company's disclosures focus on traditional operational aspects, IT infrastructure (ERP system implementation), and general business risks, with no mention of AI in its strategy, risks, or future plans.","Lancaster Colony Corp demonstrates a cautious approach towards AI, with limited explicit mention of AI strategies or investments, but acknowledges the importance of technology in operations and future growth.",B,C,C,C,C,C,C,C,C,E,E,E,C,D,D
0000059527,LECO,LINCOLN ELECTRIC HOLDINGS INC,Industrials,2020,2021-02-19,10-K,E,E,E,C,A,C,D,D,D,,,,"Lincoln Electric Holdings Inc. shows no explicit AI strategy or adoption in its 10-K filing.  While there is mention of investments in technology to improve product quality and productivity, there's no specific reference to AI initiatives or future AI plans.","Lincoln Electric Holdings Inc. demonstrates a strong foundation in advanced manufacturing technologies, including robotics and automation, which are integral to its product offerings and R&D. However, the company's disclosures do not explicitly mention 'Artificial Intelligence' or 'AI' as a strategic focus, nor do they detail AI-specific risks, talent initiatives, or future plans, indicating a practical, application-oriented approach to advanced technology without using the specific AI terminology.","Lincoln Electric demonstrates a strong commitment to innovation and technology in welding and cutting products, but lacks explicit references to AI strategies or future plans, indicating a cautious approach to AI adoption.",C,C,C,C,C,C,C,C,C,E,B,D,C,D,C
0000059527,LECO,LINCOLN ELECTRIC HOLDINGS INC,Industrials,2021,2022-02-18,10-K,E,E,E,C,E,C,D,D,D,,,,"Lincoln Electric Holdings Inc. shows no explicit AI strategy or adoption in its 10-K filing.  While there's mention of investments in technology to improve product quality and productivity, there is no specific reference to AI initiatives, talent acquisition, or future AI plans.","Lincoln Electric's disclosures indicate a focus on traditional manufacturing, automation, and robotics in its products, but there is no explicit mention of Artificial Intelligence, machine learning, or advanced AI technologies in its strategy, operations, or risk factors. The company's AI preparedness, based on this text, appears to be non-existent or not disclosed.","Lincoln Electric demonstrates a strong commitment to innovation and product development in the welding industry, but lacks explicit references to AI strategies or future plans, indicating a cautious approach to AI adoption.",C,C,C,C,C,C,C,C,C,E,E,D,C,D,D
0000059527,LECO,LINCOLN ELECTRIC HOLDINGS INC,Industrials,2022,2023-02-21,10-K,E,A,C,C,A,B,D,B,D,"automated, robotic, automation",,,"Lincoln Electric Holdings Inc. demonstrates a moderate level of AI preparedness.  While the company's acquisition of Fori Automation signals an interest in automation and robotics, there is limited explicit discussion of broader AI strategies or risks associated with AI adoption.","Lincoln Electric demonstrates a strong, substantive engagement with advanced automation and robotics through its product offerings, R&D investments, and strategic acquisition of Fori Automation. While explicit AI terminology is absent, the company's focus on complex automated systems suggests a significant, positive, and grounded approach to technologies often leveraging AI, with an implicit understanding of competitive innovation.","Lincoln Electric demonstrates a strong commitment to innovation and automation in its welding and cutting products, particularly through its acquisition of Fori Automation, which enhances its capabilities in automated solutions. However, there is limited explicit mention of AI-specific strategies or risks.",C,C,C,C,B,C,C,C,C,B,B,B,C,C,C
0000059527,LECO,LINCOLN ELECTRIC HOLDINGS INC,Industrials,2023,2024-02-27,10-K,E,E,C,C,E,C,D,D,D,,,,"Lincoln Electric Holdings Inc. shows no explicit AI strategy or adoption in its 10-K filing.  While there's mention of automation and R&D, no specific AI initiatives or future plans are detailed, suggesting a limited current engagement with AI.","Lincoln Electric's disclosures do not explicitly mention Artificial Intelligence (AI) or related terms like machine learning. While the company discusses 'automated solutions' and 'robotic components' as part of its product offerings and raw materials, it does not link these to AI strategy, risks, or future plans, indicating a lack of direct engagement with AI in its public filings.","Lincoln Electric demonstrates a strong commitment to innovation and product development in the welding industry, but lacks explicit references to AI strategies or future plans, indicating a cautious approach to AI adoption.",C,C,C,C,C,C,C,C,C,E,E,D,C,D,D
0000060519,LPX,LOUISIANA-PACIFIC CORP,Materials,2020,2021-02-18,10-K,E,E,E,E,E,C,D,D,D,,,,"Louisiana-Pacific Corp shows no explicit AI strategy or adoption in its 10-K filing.  The company focuses on operational efficiency and risk mitigation, with no mention of AI talent acquisition or investment.","The company's 10-K filing provides no explicit mention of Artificial Intelligence, machine learning, or related advanced technologies in its risk factors or management discussion and analysis. This indicates a lack of disclosed engagement with AI, either strategically, operationally, or in terms of risk assessment.","The company demonstrates a cautious approach towards AI, with limited explicit strategies or discussions regarding AI adoption, while acknowledging risks associated with technology and cybersecurity.",C,C,B,C,C,C,C,C,C,E,E,E,D,D,D
0000060519,LPX,LOUISIANA-PACIFIC CORP,Materials,2021,2022-02-22,10-K,E,E,E,C,E,C,D,D,D,,,,"Louisiana-Pacific's 10-K filing reveals no explicit AI strategy or initiatives.  However, the company highlights its use of technology for supply chain optimization and mentions cybersecurity risks, suggesting some indirect engagement with AI-related technologies.","LOUISIANA-PACIFIC CORP's disclosures indicate no explicit engagement with Artificial Intelligence. The company does not mention AI in its strategic plans, operational discussions, or risk factors, suggesting a current lack of focus or integration of AI technologies.","Louisiana-Pacific Corp demonstrates a cautious approach towards AI, with limited explicit strategies or investments in AI technologies, while acknowledging the importance of technology in mitigating operational risks.",B,B,C,C,C,C,C,C,C,E,E,E,D,D,D
0000060519,LPX,LOUISIANA-PACIFIC CORP,Materials,2022,2023-02-21,10-K,E,E,E,E,E,C,D,D,D,,,,"Louisiana-Pacific's 10-K filing shows no explicit mention of AI strategy or adoption.  However, the company's focus on technology and supply chain optimization suggests potential future AI integration, although this remains speculative.","Based on the provided 10-K excerpts, Louisiana-Pacific Corp does not explicitly mention Artificial Intelligence, machine learning, or related advanced technologies in its risk factors or management discussion and analysis, indicating a lack of disclosed AI preparedness or strategic focus.","Louisiana-Pacific Corp demonstrates a cautious approach towards AI, with limited explicit strategies or investments in AI technologies, while acknowledging the importance of cybersecurity and technology upgrades.",B,C,C,C,C,C,C,C,C,E,E,E,D,D,D
0000060519,LPX,LOUISIANA-PACIFIC CORP,Materials,2023,2024-02-14,10-K,E,E,E,E,E,C,D,D,D,,,,"Louisiana-Pacific's 10-K filing shows no explicit mention of AI strategy or adoption.  The company focuses on operational risks, supply chain challenges, and ESG concerns, with no integration of AI into its strategic plans or operations.","Louisiana-Pacific Corp's 10-K filing does not contain any explicit mentions of Artificial Intelligence, machine learning, or related advanced technologies. The company's disclosures focus on traditional operational, market, financial, and regulatory risks and strategies, indicating no current public engagement or strategic focus on AI.","The company demonstrates a cautious approach towards AI, with limited strategic depth and no explicit mention of AI initiatives or investments, indicating a need for improvement in AI integration and talent acquisition.",C,C,C,C,C,C,C,C,C,E,E,E,D,D,D
0000062709,MMC,"MARSH & MCLENNAN COMPANIES, INC.",Financials,2020,2021-02-17,10-K,E,E,C,C,E,D,D,D,C,"artificial intelligence, AI, machine learning, data analytics, digital platforms, robotics, blockchain","artificial intelligence, AI, data analytics, robotics, blockchain, deep fakes","artificial intelligence, digital platforms, data analytics","Marsh & McLennan Companies demonstrates awareness of AI's disruptive potential and acknowledges the associated risks, particularly in cybersecurity.  However, their discussion lacks concrete details regarding their own AI strategy, investments, or future plans.","Marsh & McLennan's disclosures highlight AI primarily as an external factor, noting its use by competitors for disruption and by adversaries for cyberattacks. The company acknowledges the risk of not adapting to technological change, including AI, but provides no specific details on its own AI strategy, adoption, or related investments and talent focus.","Marsh & McLennan Companies, Inc. demonstrates a cautious approach towards AI, acknowledging the importance of technology and digital transformation while facing significant risks related to cybersecurity and compliance. The company is actively investing in technology but lacks specific forward-looking AI strategies.",A,A,A,A,A,B,C,C,B,D,D,B,B,D,B
0000062709,MMC,"MARSH & MCLENNAN COMPANIES, INC.",Financials,2021,2022-02-16,10-K,E,E,C,C,E,D,D,B,C,"artificial intelligence, AI, cyberattacks, deep fakes, machine learning","artificial intelligence, AI, deep fakes, robotics, data analytics","artificial intelligence, data analytics","Marsh & McLennan Companies demonstrates awareness of AI's disruptive potential and its associated risks, particularly in cybersecurity.  However, their current AI strategy and adoption appear limited, focusing primarily on defensive measures against AI-driven threats rather than proactive AI integration.","Marsh & McLennan primarily views AI as an external risk, acknowledging its use by cyber adversaries and competitive disruptors, and expresses a general intent to respond to technological change. However, the company provides no explicit details on its own strategic AI adoption, internal AI talent development, or specific future AI investment plans.","Marsh & McLennan Companies, Inc. demonstrates a cautious approach towards AI, acknowledging the risks associated with cybersecurity and the need for technological advancements, but lacks a clear strategic depth or detailed future plans regarding AI integration.",A,A,A,B,A,B,C,C,B,D,D,D,B,D,D
0000062709,MMC,"MARSH & MCLENNAN COMPANIES, INC.",Financials,2022,2023-02-13,10-K,E,E,C,C,E,D,D,D,C,"artificial intelligence, AI, cyberattacks, data analytics","artificial intelligence, AI, deep fakes","artificial intelligence, AI","Marsh & McLennan Companies demonstrates awareness of AI's disruptive potential and its associated risks, particularly in cybersecurity.  However, the company's discussion of AI remains limited, focusing primarily on AI's role in external threats rather than its strategic integration or internal applications.","Marsh & McLennan primarily views AI as an external factor, acknowledging its role in competitive disruption and sophisticated cyber threats. The company's disclosures emphasize the risk of not adapting to technological change, including AI, but lack specific details on its own strategic AI adoption, future plans, or dedicated investments in AI talent or technology.","Marsh & McLennan Companies, Inc. demonstrates a cautious approach towards AI, acknowledging the risks and challenges associated with technological advancements while also recognizing the importance of integrating technology into their business strategy.",A,A,B,A,A,B,C,C,B,D,D,B,B,D,B
0000062709,MMC,"MARSH & MCLENNAN COMPANIES, INC.",Financials,2023,2024-02-12,10-K,E,E,E,C,E,D,D,D,D,AI,AI,,"Marsh & McLennan Companies acknowledges AI as a potential disruptor and a factor impacting future business performance and growth.  However, their current disclosures lack specific details on their AI strategy, adoption plans, or investments, indicating a relatively nascent stage of AI engagement.","Marsh & McLennan's disclosures indicate a nascent awareness of AI primarily as an external technological disruption and a regulatory compliance area, rather than a core strategic enabler. The company explicitly acknowledges the risk of not adapting to AI-driven changes but provides no details on its own AI adoption, initiatives, or related investments.","Marsh & McLennan Companies, Inc. demonstrates a cautious approach towards AI, acknowledging its potential impact on business operations while lacking specific strategic initiatives or detailed future plans related to AI adoption.",C,C,B,B,A,B,C,C,C,D,D,D,C,D,C
0000062996,MAS,MASCO CORP /DE/,Industrials,2020,2021-02-09,10-K,E,E,E,E,E,C,D,D,D,,,,"Masco Corp shows a strong focus on talent acquisition and development, particularly emphasizing leadership and diversity, equity, and inclusion initiatives.  However, there is no mention of AI strategy or adoption in their 10-K filing.","Based on the provided 10-K excerpts, Masco Corp. does not disclose any engagement with Artificial Intelligence. The document focuses on general business operations, human capital, and traditional technology investments, indicating no current AI preparedness or strategic focus.","Masco Corp demonstrates a cautious approach towards AI, with limited explicit strategies or discussions regarding AI adoption, while emphasizing human capital management and operational excellence. The company appears to be focused on traditional business strategies without a clear integration of AI technologies.",C,C,C,C,C,C,C,C,C,E,E,E,B,D,B
0000062996,MAS,MASCO CORP /DE/,Industrials,2021,2022-02-08,10-K,E,E,E,E,E,C,D,D,D,,,,"Masco Corp demonstrates a strong focus on human capital management, including talent development and diversity initiatives, but shows no explicit mention of AI strategy, adoption, or specific AI-related investments or risks in their 10-K filing.  Their operational focus is on traditional business improvement strategies.","Masco Corp's 10-K filing shows no explicit engagement with Artificial Intelligence in its strategic planning, risk disclosures, or future initiatives. The only tangential mention is the acquisition of a 'smart bathing system,' which is not explicitly linked to AI or a broader AI strategy.","Masco Corp demonstrates a cautious approach towards AI, with limited explicit mention of AI strategies or investments, indicating a need for further development in this area.",C,B,C,C,C,C,C,C,C,E,E,E,D,D,D
0000062996,MAS,MASCO CORP /DE/,Industrials,2022,2023-02-09,10-K,E,E,E,E,E,E,D,D,D,,,,"Masco Corp shows a strong focus on talent development and investment, particularly in building leadership capabilities and fostering diversity, equity, and inclusion.  However, there is no mention of AI strategy or adoption in their 10-K filing.","Based on the provided excerpts, Masco Corp does not explicitly mention Artificial Intelligence (AI) in its strategic discussions, risk factors, or future plans. The company's disclosures focus on general business operations, human capital, supply chain, and IT systems without any specific reference to AI adoption, risks, or investments.","Masco Corp demonstrates a cautious approach towards AI, with no explicit mention of AI strategies or investments, indicating a potential lack of focus on AI integration in their operations.",C,C,C,C,C,C,C,C,C,E,E,E,B,D,D
